"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","도서관수","도서관(실)총좌석수","사서자격증보유","사서자격증미보유","자료구입비예산액","운영비예산액"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S000003522","전주교육대학교군산부설초등학교","02","국립","N","","1","32","0","0","2210000","400000"
"전북특별자치도교육청","전북특별자치도전주교육지원청","전북특별자치도 전주시 완산구","S000003525","전주교육대학교전주부설초등학교","02","국립","N","","1","30","0","0","7500000","1400000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000480","가평초등학교","02","공립","N","","0","0","0","0","4800000","1200000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000481","고수초등학교","02","공립","N","","1","32","0","0","5510000","4760000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000482","고창남초등학교","02","공립","N","","1","30","0","0","8775000","500000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000484","고창초등학교","02","공립","N","","1","55","0","0","15964000","6000000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000485","공음초등학교","02","공립","N","","1","100","0","1","5000000","2420000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000486","대산초등학교","02","공립","N","","1","40","0","0","4000000","200000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000487","대아초등학교","02","공립","N","","1","24","0","0","5283000","2640000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000489","동호초등학교","02","공립","N","","1","14","0","0","4640000","200000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000490","매산초등학교","02","공립","N","","1","48","0","0","4793000","1000000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000491","무장초등학교","02","공립","N","","1","20","0","0","5690000","893000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000492","봉암초등학교","02","공립","N","","1","18","0","1","2000000","1000000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000493","고창부안초등학교","02","공립","N","","1","40","0","0","4942000","300000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000495","상하초등학교","02","공립","N","","1","36","0","0","5500000","1200000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000498","선동초등학교","02","공립","N","","1","21","0","1","4000000","300000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000500","성내초등학교","02","공립","N","","1","50","0","0","5154000","2162000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000501","성송초등학교","02","공립","N","","1","24","0","0","5000000","400000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000502","신림초등학교","02","공립","N","","1","36","0","0","5000000","1950000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000504","심원초등학교","02","공립","N","","1","50","0","0","4900000","1200000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000505","아산초등학교","02","공립","N","","1","22","0","0","5000000","400000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000510","해리초등학교","02","공립","N","","1","32","0","0","5400000","500000"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000512","흥덕초등학교","02","공립","N","","1","26","0","0","5080000","700000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000570","개야도초등학교","02","공립","N","","1","12","0","0","3501000","200000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000571","개정초등학교","02","공립","N","","1","34","0","0","5250000","1000000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000574","군산경포초등학교","02","공립","N","","1","15","0","0","11238000","1200000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000575","군산구암초등학교","02","공립","N","","1","50","0","1","8927000","2600000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000576","군산금광초등학교","02","공립","N","","1","34","0","0","3000000","700000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000577","군산나운초등학교","02","공립","N","","1","40","0","0","7600000","1535000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000578","군산남초등학교","02","공립","N","","1","30","0","0","5040000","100000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000579","군산내흥초등학교","02","공립","N","","1","15","0","0","4840000","1000000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000580","군산동초등학교","02","공립","N","","1","30","0","0","11960000","3025000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000581","군산문화초등학교","02","공립","N","","1","24","0","1","6670000","2340000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000582","군산산북초등학교","02","공립","N","","1","25","0","0","9425000","5394000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000583","군산서초등학교","02","공립","N","","1","12","0","0","3710000","2000000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000584","군산서해초등학교","02","공립","N","","1","30","0","0","12534000","12920000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000585","소룡초등학교","02","공립","N","","1","30","0","0","16074000","1830000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000586","군산수송초등학교","02","공립","N","","1","40","0","0","15695000","3484000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000587","군산신흥초등학교","02","공립","N","","1","38","0","0","9600000","6800000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000588","군산용문초등학교","02","공립","N","","1","48","0","0","16450000","600000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000589","군산월명초등학교","02","공립","N","","1","30","0","0","13846000","3272000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000590","군산중앙초등학교","02","공립","N","","1","36","0","0","7000000","800000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000591","군산지곡초등학교","02","공립","N","","1","30","0","0","10500000","600000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000592","군산초등학교","02","공립","N","","1","40","0","0","14760000","9856000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000593","군산풍문초등학교","02","공립","N","","1","24","0","0","7807000","3690000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000594","해성초등학교","02","공립","N","","1","25","0","1","5148000","4940000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000595","군산흥남초등학교","02","공립","N","","1","40","0","0","7200000","1400000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000596","금암초등학교","02","공립","N","","1","42","0","1","4216000","500000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000598","나포초등학교","02","공립","N","","1","24","0","0","4960000","1800000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000599","당북초등학교","02","공립","N","","1","12","0","0","10228000","1500000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000600","대야남초등학교","02","공립","N","","1","17","0","0","4768000","1000000"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S130000601","대야초등학교","02","공립","N","","1","40","0","0","5034000","0"
