"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","연간학생대출자료수","전년도전체학생수","연간학생대출자수","1인당대출자료수"
"전북특별자치도교육청","전북특별자치도군산교육지원청","전북특별자치도 군산시","S000003522","전주교육대학교군산부설초등학교","02","국립","N","","4274","418","2515","10.2"
"전북특별자치도교육청","전북특별자치도전주교육지원청","전북특별자치도 전주시 완산구","S000003525","전주교육대학교전주부설초등학교","02","국립","N","","2116","418","1516","5.1"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000480","가평초등학교","02","공립","N","","253","39","125","6.5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000481","고수초등학교","02","공립","N","","214","43","177","5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000482","고창남초등학교","02","공립","N","","4083","261","2693","15.6"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000484","고창초등학교","02","공립","N","","12613","910","5586","13.9"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000485","공음초등학교","02","공립","N","","382","18","240","21.2"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000486","대산초등학교","02","공립","N","","19","16","3","1.2"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000487","대아초등학교","02","공립","N","","177","35","31","5.1"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000489","동호초등학교","02","공립","N","","80","16","25","5"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000490","매산초등학교","02","공립","N","","107","40","80","2.7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000491","무장초등학교","02","공립","N","","1257","53","395","23.7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000492","봉암초등학교","02","공립","N","","140","15","20","9.3"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000493","고창부안초등학교","02","공립","N","","147","21","85","7"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000495","상하초등학교","02","공립","N","","369","35","126","10.5"
