"행정구역별(읍면동)",2020,2020,2020,2020,2020,2020,2020,2020,2024,2024,2024,2024,2024,2024,2024
"행정구역별(읍면동)",일반가구_계,1인,2인,3인,4인,5인,6인,7인 이상,일반가구_계,1인,2인,3인,4인,5인,6인 이상
"동서학동",2865,1042,937,477,290,92,21,6,2836,1222,937,379,214,62,22
"서서학동",3961,1449,1344,655,364,111,29,9,3965,1673,1391,552,261,72,16
"중화산1동",6051,1921,1780,1174,858,250,61,7,6077,2219,1938,1055,628,184,53
"중화산2동",8525,3424,1988,1450,1285,319,44,15,8888,3973,2184,1371,1084,240,36
"평화1동",6503,3092,1904,850,507,126,17,7,6541,3493,1925,664,366,70,23
"평화2동",17609,4409,5063,3868,3240,884,121,24,17900,5188,5661,3704,2649,597,101
"서신동",16351,4863,4169,3462,3027,706,103,21,16889,5948,4744,3222,2389,492,94
"삼천1동",4864,1347,1597,1008,689,183,35,5,5225,1773,1757,915,623,135,22
"삼천2동",5569,1723,1738,1069,728,236,58,17,5556,2079,1779,953,542,154,49
"삼천3동",8352,1996,2461,1887,1530,387,72,19,8617,2535,2819,1761,1174,272,56
"효자1동",4578,1331,1542,865,596,196,41,7,5588,1835,1860,1032,639,181,41
"효자2동",4230,1253,1352,872,538,161,43,11,4146,1496,1388,703,427,105,27
"효자3동",5788,1245,1984,1322,957,226,43,11,5877,1642,2097,1207,724,176,31
"효자4동",16365,5526,3841,3135,2985,740,120,18,17370,6740,4159,3148,2614,614,95
"중앙동",3290,1231,1034,572,305,115,28,5,4341,1627,1395,754,432,103,30
"풍남동",1918,798,650,274,126,48,15,7,1789,847,620,206,87,18,11
"노송동",5362,1895,1745,949,572,159,30,12,4760,1827,1641,743,400,112,37
"완산동",2136,817,669,370,189,69,16,6,2241,890,749,342,189,52,19
"효자5동",16497,7396,3324,2864,2298,520,80,15,17812,8791,3996,2733,1841,389,62
"인후1동",7055,1768,2063,1493,1245,380,86,20,7095,2122,2247,1383,997,274,72
"인후2동",5243,1986,1706,866,468,158,35,24,5037,2227,1562,741,369,110,28
"인후3동",13804,5056,3397,2592,2098,544,94,23,13754,5571,3693,2357,1648,409,76
"덕진동",9414,4150,2223,1502,1177,286,55,21,10112,4855,2525,1438,1004,237,53
"금암1동",6121,4397,975,448,211,65,16,9,6892,5340,963,345,184,42,18
"금암2동",5283,2511,1370,775,440,147,32,8,5442,2877,1427,642,356,115,25
"팔복동",3623,1542,1133,538,283,97,19,11,3952,2129,1110,430,202,60,21
"우아1동",4364,1720,1243,699,493,162,43,X,5469,2198,1551,947,618,134,21
"우아2동",7114,3352,1740,1034,758,175,44,11,7028,3547,1851,901,560,136,33
"호성동",7528,1496,2326,1759,1470,390,67,20,7549,2019,2529,1546,1128,278,49
"송천1동",21071,4055,4728,5341,5399,1366,157,25,23574,5160,5863,5747,5509,1163,132
"송천2동",9838,2230,2754,2239,1900,577,112,26,10637,2936,3288,2236,1642,445,90
"조촌동",5560,2128,1654,923,629,177,40,9,5778,2461,1684,934,538,134,27
"진북동",6188,2020,2114,1126,663,194,60,11,5761,2179,2038,935,445,126,38
"혁신동",6028,831,1179,1549,1905,502,51,11,12666,2512,2951,3327,3122,666,88
"여의동",11720,3038,3165,2623,2194,590,90,20,6632,2051,2093,1283,913,241,51
"옥구읍",1294,395,573,199,78,25,17,7,1295,436,593,159,69,20,18
"옥산면",1751,388,594,401,280,74,13,X,1751,443,605,354,272,61,16
"회현면",1254,343,455,233,144,56,20,X,1236,382,478,199,112,53,12
"임피면",1646,891,443,183,80,31,14,X,1697,972,465,173,57,25,5
"서수면",1074,373,431,149,83,27,7,X,1052,402,430,143,55,14,8
"대야면",2101,671,853,353,142,61,15,6,2036,731,837,304,114,39,11
"개정면",1191,315,511,214,100,29,15,7,1189,335,547,209,65,24,9
"성산면",1226,394,484,199,106,28,13,X,1249,483,512,154,72,24,X
"나포면",943,290,412,140,71,21,6,X,932,333,417,125,46,7,X
"옥도면",1165,332,448,236,103,34,7,5,1076,369,435,176,70,18,8
"옥서면",1198,354,467,222,108,36,8,X,1149,417,465,165,74,19,9
"해신동",1083,435,379,171,73,20,X,X,1040,481,368,122,52,12,5
"월명동",2342,812,947,356,162,55,10,X,2223,894,908,287,101,26,7
"신풍동",3011,1008,1059,506,314,93,25,6,2923,1136,1053,433,233,54,14
"삼학동",2537,909,947,383,209,74,14,X,2607,1176,919,299,158,45,10
"중앙동",2046,807,726,321,156,24,7,5,1966,841,710,265,122,21,7
"흥남동",5254,1592,1724,1047,649,198,37,7,5093,1701,1763,948,530,118,33
"조촌동",9446,3247,2565,1914,1369,276,63,12,11362,3852,3052,2212,1844,335,67
"경암동",3594,1499,1176,534,264,95,18,8,3548,1638,1169,449,216,49,27
"구암동",3026,859,1057,580,407,101,18,X,5094,2107,1557,816,487,104,23
"개정동",1120,278,432,214,137,50,7,X,1106,322,488,174,86,30,6
"수송동",20151,4974,4912,4575,4429,1053,163,45,21256,6061,5649,4580,3947,861,158
"나운1동",5554,1865,1856,1017,619,164,22,11,6206,2395,2122,998,535,125,31
"나운2동",9403,2658,2745,1901,1629,391,69,10,9087,2871,2944,1770,1172,270,60
"소룡동",8258,3747,2155,1199,867,237,38,15,9046,4618,2516,1100,617,154,41
"미성동",5921,2894,1606,772,485,117,39,8,5976,3321,1629,624,304,70,28
"나운3동",14228,4989,3804,2635,2153,543,84,20,14255,5845,4073,2334,1557,376,70
"함열읍",2865,924,1029,490,277,99,35,11,2780,1003,1051,422,205,74,25
"오산면",3337,1113,1237,537,309,108,23,10,3217,1240,1218,436,236,61,26
"황등면",2878,874,1122,473,256,108,29,16,2899,1019,1134,410,225,83,28
"함라면",984,321,412,146,64,22,12,7,931,319,419,121,45,17,10
"웅포면",696,233,299,108,41,12,X,X,678,230,323,83,33,5,X
"성당면",845,283,350,116,66,17,9,X,840,350,320,115,39,10,6
"용안면",1157,399,495,168,61,23,9,X,1117,438,482,130,42,15,10
"낭산면",1319,444,514,220,90,35,13,X,1280,505,487,193,63,20,12
"망성면",1430,538,603,186,62,26,10,5,1369,544,580,159,58,20,8
"여산면",1457,490,552,227,118,56,8,6,1411,522,580,191,76,33,9
"금마면",2000,554,761,374,224,67,17,X,2120,652,852,347,190,62,17
"왕궁면",1935,700,846,241,91,42,12,X,2427,940,980,324,134,39,10
"춘포면",1935,641,738,304,170,56,17,9,1956,727,757,300,121,37,14
"삼기면",1034,311,410,176,91,31,8,7,1063,351,439,175,60,25,13
"용동면",721,236,305,115,35,19,9,X,701,275,302,73,29,17,5
"중앙동",1592,755,520,195,80,30,7,5,1491,779,495,122,73,12,10
"평화동",2161,841,658,346,221,75,18,X,2019,872,628,293,159,53,14
"인화동",3280,1427,1009,461,253,85,31,14,3026,1401,977,393,184,50,21
"동산동",9303,2869,2925,1733,1343,357,61,15,9103,3182,3064,1557,992,246,62
"마동",4259,1622,1333,714,431,112,41,6,5847,2026,1816,1069,718,180,38
"남중동",5173,1888,1812,817,449,154,44,9,4763,1899,1750,700,281,105,28
"모현동",15002,4135,4350,3114,2584,656,129,34,15451,4793,4852,2943,2263,490,110
"송학동",3261,798,992,700,591,153,22,5,4134,1271,1336,773,585,148,21
"신동",10573,6899,1894,970,576,174,44,16,11439,8099,1901,841,448,119,31
"영등1동",9324,2616,2811,1970,1460,380,72,15,9001,2867,3026,1673,1104,275,56
"팔봉동",2417,665,747,463,393,119,23,7,2435,663,838,481,336,99,18
"삼성동",12527,3830,3228,2582,2222,542,106,17,12718,4132,3665,2531,1846,444,100
"영등2동",5811,1702,1484,1192,1121,264,40,8,5530,1860,1595,1079,783,185,28
"어양동",10198,3167,2578,2155,1761,443,71,23,10055,3684,2843,1839,1331,305,53
"신태인읍",2441,903,957,332,177,57,13,X,2400,1011,926,294,119,41,9
"북면",1860,656,714,285,122,52,26,5,1881,756,712,250,120,30,13
"입암면",1283,484,512,173,72,27,12,X,1258,548,480,159,45,17,9
"소성면",976,365,409,123,46,24,8,X,965,392,410,111,35,15,X
"고부면",1251,479,532,146,61,20,7,6,1256,547,503,136,48,14,8
"영원면",815,298,350,99,50,15,X,X,792,327,326,96,32,8,X
