"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","학교특성","분교여부","설립유형","주야구분","개교기념일","설립일","법정동코드","주소내역","상세주소내역","우편번호","학교도로명 우편번호","학교도로명 주소","학교도로명 상세주소","위도","경도","전화번호","팩스번호","홈페이지 주소","남녀공학 구분","폐교여부","폐교일자","휴교여부"
"교육부","교육부","전북특별자치도 군산시","S000003522","전주교육대학교군산부설초등학교","02","국립","","N","부설","주간","19720315","19720315","5213013100","전라북도 군산시 동흥남동","402-3.","573200","54041","전라북도 군산시 팔마로 185","(동흥남동, 전주교대 부설초등학교)","35.9741280096","126.7222319523","063-442-2188","063-442-2090","https://school.jbedu.kr/ksbs","남녀공학","N","","N"
"교육부","교육부","전북특별자치도 전주시 완산구","S000003525","전주교육대학교전주부설초등학교","02","국립","","N","부설","주간","19370501","19370501","5211112600","전라북도 전주시 완산구 서서학동","189번지.","560815","55100","전라북도 전주시 완산구 팔달로 74","(서서학동)","35.8083514033","127.1511683221","063-284-3198","063-284-8913","http://jjbs.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000480","가평초등학교","02","공립","","N","병설","주간","19550401","19550401","5279042025","전북특별자치도 고창군 신림면 가평리","640번지.","585831","56423","전북특별자치도 고창군 신림면 가평로 472","(신림면, 가평초등학교)","35.4776398229","126.7386844123","063-562-4167","063-561-1679","https://school.jbedu.kr/jb-gapyeong","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000481","고수초등학교","02","공립","","N","단설","주간","19340601","19331101","5279031022","전북특별자치도 고창군 고수면 황산리","215번지.","56447","56447","전북특별자치도 고창군 고수면 고수로 93","(고수면, 고수초등학교)","35.4044175871","126.6859381956","063-562-0005","063-561-1642","http://www.gosu.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000482","고창남초등학교","02","공립","","N","단설","주간","19610901","19610901","5279025021","전라북도 고창군 고창읍 읍내리","542-2번지.","585808","56439","전북특별자치도 고창군 고창읍 중거리당산로 111","고창남초등학교","35.4291432604","126.6975304452","063-564-2078","063-563-4426","http://gochangnam.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000484","고창초등학교","02","공립","","N","단설","주간","19090927","19090927","5279025022","전라북도 고창군 고창읍 교촌리","281번지.","585801","56428","전북특별자치도 고창군 고창읍 중앙로 259","고창초등학교","35.4363790506","126.7037246632","063-560-1703","063-563-2781","http://www.jb-gochang.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000485","공음초등학교","02","공립","","N","단설","주간","19290708","19290708","5279034026","",".","","56460","전북특별자치도 고창군 공음면 공음길 20","공음초등학교","35.3768993116","126.5114274247","063-562-7006","063-562-2790","http://www.gongum.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000486","대산초등학교","02","공립","","N","단설","주간","19230610","19230610","5279038027","전라북도 고창군 대산면 율촌리","272번지.","585863","56469","전북특별자치도 고창군 대산면 장자산로 669","대산초등학교","35.3285543175","126.5637450723","063-562-8072","063-563-4943","https://school.jbedu.kr/jb-daesan","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000487","대아초등학교","02","공립","","N","단설","주간","19570905","19570905","5279032025","전라북도 고창군 아산면 하갑리","188번지.","585931","56453","전북특별자치도 고창군 아산면 녹두로 776","대아초등학교","35.4394679735","126.633492569","063-562-5006","063-561-1471","http://www.daea.es.kr","남녀공학","N","","N"
"전북특별자치도교육청","전북특별자치도고창교육지원청","전북특별자치도 고창군","S130000489","동호초등학교","02","공립","","N","병설","주간","19400522","19400522","5279036032","전북특별자치도 고창군 해리면 동호리","103-4.","585893","56406","전북특별자치도 고창군 해리면 신동호길 18","(해리면)","35.5075536117","126.4941473685","063-563-6298","063-561-0709","http://www.tongho.es.kr","남녀공학","N","","N"
